query_id,document_id,field,rating,anchor_chars,positive_chars
1,10068569,description,3,20,123
1,10196249,title,3,20,65
1,10158627,description,3,20,126
1,10058203,description,3,20,140
1,10038921,description,3,20,95
1,10039367,description,3,20,145
1,10058199,description,3,20,139
1,10058339,description,3,20,132
1,10009775,description,3,20,127
1,10009623,description,3,20,130
1,10166763,description,3,20,124
1,10075725,title,3,20,59
1,10095231,description,3,20,138
1,10039387,description,3,20,154
1,10009671,description,3,20,132
1,10101395,title,3,20,54
1,10098527,description,3,20,125
1,10058499,title,3,20,88
1,10068567,title,3,20,65
1,10058435,title,3,20,63
1,10170215,title,3,20,67
1,10009621,description,3,20,140
1,10058453,description,3,20,130
1,10058181,title,3,20,75
1,10009617,description,3,20,120
1,10058305,description,3,20,139
1,10058535,description,3,20,149
1,10196233,title,3,20,71
1,10058223,title,3,20,71
1,10068583,description,3,20,123
1,10128353,description,3,20,126
1,10009619,description,3,20,156
1,10058399,description,3,20,126
1,10058469,title,3,20,71
1,10058387,title,3,20,76
1,10068611,title,3,20,67
1,10156749,description,3,20,133
1,10235537,title,3,20,75
1,10158641,title,3,20,74
1,10158755,description,3,20,133
1,10009647,title,3,20,80
1,10009681,title,3,20,85
1,10211983,description,3,20,125
1,10009773,description,3,20,140
1,10009711,description,3,20,124
1,10038921,title,3,20,91
1,10048073,title,3,20,79
10,10170661,description,3,14,45
10,10148361,title,3,14,65
10,10009611,description,3,14,125
10,10017113,title,3,14,64
10,1010498,description,3,14,112
10,10148345,description,3,14,60
10,10041745,title,3,14,57
10,10004161,description,3,14,62
10,10170363,title,3,14,66
10,10269809,description,3,14,120
10,10136201,title,3,14,58
10,10150241,description,3,14,60
10,10202235,description,3,14,172
10,10270099,title,3,14,53
10,10148361,description,3,14,147
10,10003277,title,3,14,49
10,10004179,description,3,14,75
10,10242711,title,3,14,58
10,10024767,description,3,14,57
10,10236115,title,3,14,55
10,10019869,title,3,14,61
10,10136037,description,3,14,60
10,10004179,title,3,14,54
10,10004181,description,3,14,75
10,10270053,description,3,14,104
10,10028843,title,3,14,52
10,10070729,title,3,14,49
10,10136157,description,3,14,69
10,10070729,description,3,14,60
10,10144531,title,3,14,61
10,10242855,title,3,14,48
10,10220737,title,3,14,55
10,10177215,description,3,14,47
10,10201823,title,3,14,52
10,10004181,title,3,14,65
10,10144531,description,3,14,71
10,10003075,description,3,14,57
10,10013261,description,3,14,82
10,10003417,title,3,14,58
10,10202235,title,3,14,70
10,10136157,title,3,14,52
10,10150581,title,3,14,66
10,1015476,description,3,14,204
10,10047999,description,3,14,138
10,10263185,description,3,14,117
100,10261367,title,3,16,50
100,10166959,title,3,16,67
100,10167821,title,3,16,50
100,10181833,title,3,16,47
100,10143543,description,3,16,262
100,10181783,title,3,16,38
100,10181899,description,3,16,204
100,10017429,title,3,16,51
100,10181823,title,3,16,37
100,10181867,title,3,16,43
100,10101529,description,3,16,199
100,10017429,description,3,16,220
100,10167837,description,3,16,241
100,10167851,title,3,16,49
100,10181885,title,3,16,36
100,10017439,title,3,16,52
100,10167851,description,3,16,226
100,10166959,description,3,16,253
100,10181783,description,3,16,208
100,10181809,description,3,16,234
100,10181809,title,3,16,52
100,10181913,title,3,16,31
100,10181869,description,3,16,195
100,10017439,description,3,16,222
100,10181867,description,3,16,196
100,10167843,title,3,16,55
100,10074201,description,3,16,203
100,10167821,description,3,16,227
100,10181885,description,3,16,193
100,10181869,title,3,16,52
100,10143543,title,3,16,54
100,10167837,title,3,16,63
100,10181883,description,3,16,194
100,10181823,description,3,16,194
100,10074201,title,3,16,47
100,10181883,title,3,16,32
100,10181913,description,3,16,192
100,10167843,description,3,16,211
100,10181899,title,3,16,50
100,10261367,description,3,16,298
100,10101529,title,3,16,65
100,10181833,description,3,16,496
101,10015165,title,3,14,55
101,10180905,description,3,14,77
101,10252481,description,3,14,82
101,10015159,description,3,14,74
101,1011672,title,3,14,25
101,10015163,title,3,14,50
101,1011679,description,3,14,155
101,10015167,description,3,14,75
101,10015171,title,3,14,51
101,1011672,description,3,14,128
101,10015165,description,3,14,77
101,10237425,title,3,14,62
101,10232793,title,3,14,56
101,10015155,description,3,14,72
101,10252481,title,3,14,58
101,10236763,title,3,14,53
101,10015171,description,3,14,73
101,10015153,title,3,14,59
101,10236763,description,3,14,81
101,1011679,title,3,14,17
101,10237425,description,3,14,84
101,10015159,title,3,14,52
101,10015167,title,3,14,53
101,10184387,description,3,14,74
101,10015153,description,3,14,81
101,10180905,title,3,14,49
101,10184387,title,3,14,56
101,10232793,description,3,14,1077
103,10234523,description,3,14,334
103,10168463,title,3,14,75
103,10245789,description,3,14,220
103,10197727,title,3,14,79
103,10197729,description,3,14,602
103,10144797,title,3,14,65
103,10234533,description,3,14,291
103,10197741,title,3,14,91
103,10234533,title,3,14,68
103,10168463,description,3,14,220
103,10075165,title,3,14,72
103,10236739,title,3,14,84
103,10236739,description,3,14,211
103,10197737,description,3,14,476
103,10197729,title,3,14,55
103,10197727,description,3,14,470
103,10245789,title,3,14,72
103,10075177,description,3,14,496
103,10144797,description,3,14,167
103,10075177,title,3,14,64
103,10225009,title,3,14,78
103,10271953,description,3,14,87
103,10225009,description,3,14,207
103,10197741,description,3,14,736
103,10075165,description,3,14,630
103,10234523,title,3,14,70
103,10271953,title,3,14,48
103,10197737,title,3,14,63
106,10242673,title,3,18,45
106,10242673,description,3,18,80
107,10040089,description,3,12,160
107,1026857,title,3,12,42
107,1026713,description,3,12,290
107,10013539,description,3,12,185
107,10013631,title,3,12,73
107,10000805,title,3,12,57
107,10203469,description,3,12,167
107,10178569,description,3,12,155
107,10216741,description,3,12,159
107,1026703,title,3,12,28
107,10017503,description,3,12,154
107,10017499,title,3,12,61
107,10017501,description,3,12,185
107,10013671,title,3,12,69
107,10040091,description,3,12,162
107,10178563,title,3,12,62
107,10000805,description,3,12,167
107,10000777,description,3,12,169
107,10000777,title,3,12,57
107,10203469,title,3,12,90
107,1027080,title,3,12,30
107,10017481,description,3,12,185
107,10013679,description,3,12,168
107,10013731,title,3,12,70
107,10013731,description,3,12,175
107,10013603,title,3,12,74
107,10129417,title,3,12,82
107,10129433,title,3,12,62
107,10013691,description,3,12,162
107,10017481,title,3,12,64
107,10017491,title,3,12,79
107,10017491,description,3,12,184
107,10216741,title,3,12,69
107,1026857,description,3,12,296
107,10017499,description,3,12,158
107,10017567,description,3,12,192
107,1027080,description,3,12,221
107,1026933,title,3,12,35
107,10013679,title,3,12,73
107,10193717,title,3,12,64
107,10178569,title,3,12,58
107,10017501,title,3,12,73
107,10040089,title,3,12,68
107,10216743,title,3,12,80
107,1026716,description,3,12,170
107,10193717,description,3,12,154
107,10013539,title,3,12,75
108,10185901,description,3,15,82
108,1011625,description,3,15,61
108,10234493,title,3,15,69
108,1020500,title,3,15,48
108,10255065,description,3,15,174
108,10234493,description,3,15,340
108,10255061,title,3,15,52
108,10255059,description,3,15,164
108,10185911,description,3,15,70
108,10186821,title,3,15,87
108,10185911,title,3,15,51
108,10186793,description,3,15,271
108,10255067,title,3,15,56
108,1020500,description,3,15,107
108,10186807,description,3,15,394
108,1011625,title,3,15,35
108,10186821,description,3,15,399
108,10207611,description,3,15,88
108,10207619,title,3,15,38
108,10185909,title,3,15,44
108,10185931,description,3,15,68
108,10185931,title,3,15,49
108,10185927,description,3,15,95
108,10185927,title,3,15,51
108,10186807,title,3,15,86
108,1011624,description,3,15,65
108,10207619,description,3,15,90
108,10186793,title,3,15,83
108,10255059,title,3,15,51
108,10185909,description,3,15,88
108,10185893,description,3,15,88
108,10185893,title,3,15,43
108,10255073,description,3,15,183
108,10255067,description,3,15,184
108,10207611,title,3,15,36
108,10255061,description,3,15,176
108,1011624,title,3,15,39
108,10185901,title,3,15,58
11,10032531,description,3,13,130
11,10032707,title,3,13,39
11,10178037,title,3,13,44
11,10160767,description,3,13,111
11,10178009,description,3,13,104
11,10025037,title,3,13,67
11,10161373,title,3,13,42
11,10178009,title,3,13,40
11,10032459,title,3,13,56
11,10032595,description,3,13,133
11,10032719,description,3,13,155
11,10178041,description,3,13,113
11,10032719,title,3,13,54
11,10032681,description,3,13,75
11,10032791,title,3,13,55
11,10159111,title,3,13,38
11,10257543,title,3,13,47
11,10244469,title,3,13,36
11,10032475,description,3,13,141
11,10032741,title,3,13,54
11,10177965,description,3,13,109
11,10025037,description,3,13,137
11,10178013,description,3,13,277
11,10178047,description,3,13,125
11,10032823,title,3,13,58
11,10032631,title,3,13,63
11,10032707,description,3,13,113
11,10178057,description,3,13,112
11,10135081,description,3,13,94
11,10244549,title,3,13,29
11,10032531,title,3,13,76
11,10032637,title,3,13,58
11,10032551,title,3,13,50
11,10160767,title,3,13,44
11,10185863,description,3,13,111
11,10032643,description,3,13,165
11,10185863,title,3,13,50
11,10032465,description,3,13,121
11,10032537,description,3,13,135
11,10178013,title,3,13,56
11,10134545,title,3,13,53
11,10177993,title,3,13,39
11,10000901,title,3,13,42
11,10244549,description,3,13,304
11,10134909,description,3,13,76
11,10178027,description,3,13,126
11,10134879,title,3,13,54
11,10185875,description,3,13,103
110,10021145,title,3,14,44
110,10193961,title,3,14,54
110,10074625,description,3,14,102
110,10016747,title,3,14,51
110,10185627,title,3,14,50
110,10206765,description,3,14,113
110,10207129,description,3,14,141
110,10207021,title,3,14,49
110,10246991,description,3,14,62
110,10206755,description,3,14,127
110,10197067,title,3,14,58
110,10238397,title,3,14,39
110,10185627,description,3,14,85
110,10074625,title,3,14,45
110,10172905,description,3,14,134
110,10193961,description,3,14,69
110,10021145,description,3,14,83
110,10172921,title,3,14,67
110,10193915,title,3,14,54
110,10207123,title,3,14,50
110,10197067,description,3,14,136
110,10206769,description,3,14,109
110,10172903,title,3,14,52
110,10172907,title,3,14,49
110,10193935,title,3,14,56
110,10246991,title,3,14,51
110,10197665,title,3,14,68
110,10021167,title,3,14,57
110,10207021,description,3,14,138
110,10172921,description,3,14,117
110,10172903,description,3,14,120
110,10206899,title,3,14,52
110,1003783,title,3,14,30
110,10206755,title,3,14,41
110,10021167,description,3,14,88
110,1003781,description,3,14,171
110,10206765,title,3,14,50
110,10238397,description,3,14,117
110,10172907,description,3,14,153
110,10016747,description,3,14,159
110,10206763,description,3,14,121
110,10193915,description,3,14,103
110,1003781,title,3,14,17
110,10238421,title,3,14,53
110,10172905,title,3,14,66
110,1003783,description,3,14,107
110,10238421,description,3,14,188
110,10206769,title,3,14,40
110,10193935,description,3,14,105
110,10206899,description,3,14,101
111,10101607,title,3,17,45
111,10244513,description,3,17,63
111,10244459,title,3,17,37
111,10145245,title,3,17,33
111,10145333,description,3,17,108
111,10244443,description,3,17,64
111,10101129,description,3,17,57
111,10129605,description,3,17,62
111,10129601,title,3,17,48
111,10197221,description,3,17,67
111,10071499,title,3,17,44
111,10245441,title,3,17,58
111,10013361,title,3,17,62
111,10101121,description,3,17,79
111,10188253,title,3,17,40
111,10180681,title,3,17,33
111,10000369,description,3,17,46
111,10145295,title,3,17,37
111,10101619,title,3,17,49
111,10145245,description,3,17,106
111,10243471,title,3,17,35
111,10244447,description,3,17,115
111,10101121,title,3,17,54
111,10244459,description,3,17,88
111,10243463,description,3,17,79
111,10145323,description,3,17,105
111,10264983,description,3,17,169
111,10244443,title,3,17,46
111,10274645,title,3,17,40
111,10205425,title,3,17,26
111,10101129,title,3,17,42
111,10197225,title,3,17,64
111,10205425,description,3,17,56
111,10000107,title,3,17,41
111,10264983,title,3,17,63
111,10000107,description,3,17,55
111,10180923,description,3,17,56
111,10101607,description,3,17,54
111,10244303,title,3,17,34
111,10121853,description,3,17,57
111,10188253,description,3,17,56
111,10243509,title,3,17,35
111,10121853,title,3,17,68
111,10243463,title,3,17,35
111,10244447,title,3,17,37
112,10234551,title,3,18,34
112,10234495,description,3,18,298
112,10234495,title,3,18,57
112,10234549,description,3,18,107
112,10234511,title,3,18,50
112,10234511,description,3,18,266
112,10234545,description,3,18,120
112,10234549,title,3,18,46
112,10053963,description,3,18,89
112,10234551,description,3,18,103
112,10234553,description,3,18,129
112,10043077,description,3,18,417
112,10234553,title,3,18,54
112,10053963,title,3,18,30
112,10043077,title,3,18,54
112,10234545,title,3,18,48
113,1000507,description,3,15,117
113,1000507,title,3,15,33
113,10157913,description,3,15,92
113,10157913,title,3,15,33
114,10274569,title,3,16,22
114,10021449,description,3,16,189
114,10242891,title,3,16,34
114,10117173,description,3,16,141
114,10241331,description,3,16,205
114,10224509,title,3,16,27
114,10117173,title,3,16,33
114,10021469,description,3,16,186
114,10159405,description,3,16,137
114,10117195,title,3,16,25
114,10117157,title,3,16,37
114,10029687,description,3,16,140
114,10242891,description,3,16,471
114,10117065,title,3,16,33
114,10266877,description,3,16,198
114,10159407,title,3,16,37
114,10029687,title,3,16,26
114,10242953,title,3,16,35
114,10021447,description,3,16,189
114,10117203,title,3,16,25
114,10137319,title,3,16,54
114,10117201,description,3,16,139
114,10137043,title,3,16,49
114,10137101,title,3,16,47
114,10248349,description,3,16,411
114,10266917,title,3,16,24
114,10137145,title,3,16,46
114,10247655,title,3,16,29
114,10021449,title,3,16,26
114,10117065,description,3,16,141
114,10037001,description,3,16,139
114,10247655,description,3,16,221
114,10159395,title,3,16,25
114,10064639,description,3,16,695
114,10092025,description,3,16,636
114,10064639,title,3,16,58
114,10021469,title,3,16,36
114,10063557,description,3,16,188
114,10266823,description,3,16,217
114,10117203,description,3,16,133
114,10117101,description,3,16,147
114,10071795,title,3,16,34
115,10085061,title,3,17,47
115,10170161,description,3,17,44
115,10243499,title,3,17,53
115,10243435,description,3,17,103
115,10206969,description,3,17,92
115,10270099,description,3,17,98
115,10243479,description,3,17,161
115,10243499,description,3,17,221
115,10206867,title,3,17,48
115,10185561,title,3,17,42
115,10220711,description,3,17,97
115,10243473,description,3,17,163
115,10207069,title,3,17,36
115,10243563,title,3,17,30
115,10166441,description,3,17,61
115,10270099,title,3,17,53
115,10243473,title,3,17,34
115,10206943,title,3,17,43
115,10085061,description,3,17,78
115,10170161,title,3,17,67
115,10243435,title,3,17,28
115,10220711,title,3,17,54
115,10166441,title,3,17,34
115,10206943,description,3,17,92
115,10185561,description,3,17,72
115,10207133,description,3,17,91
115,10207379,description,3,17,76
115,10207379,title,3,17,35
115,10243563,description,3,17,159
115,10207069,description,3,17,99
115,10207133,title,3,17,42
116,10259963,title,3,13,45
116,10259963,description,3,13,110
117,10185717,description,3,10,71
117,10188055,title,3,10,48
117,10259411,title,3,10,39
117,10128885,title,3,10,28
117,10236393,title,3,10,46
117,10259443,description,3,10,74
117,10188139,title,3,10,56
117,10188139,description,3,10,91
117,10128873,title,3,10,32
117,10236385,description,3,10,329
117,10259467,title,3,10,42
117,10259467,description,3,10,87
117,10128915,title,3,10,41
117,10259427,description,3,10,63
117,10218293,description,3,10,89
117,10099591,description,3,10,103
117,10263425,description,3,10,88
117,10236475,title,3,10,32
117,10218293,title,3,10,43
117,10236393,description,3,10,324
117,10062775,description,3,10,52
117,10099591,title,3,10,55
117,10259427,title,3,10,41
117,10263425,title,3,10,51
117,10110737,title,3,10,69
117,10236475,description,3,10,122
117,10128885,description,3,10,121
117,10236439,title,3,10,32
117,10128873,description,3,10,159
