query_id,pos_document_id,neg_document_id,field,neg_recycled,anchor_chars,positive_chars,negative_chars
1,10068569,10013641,description,false,77,123,155
1,10196249,10000747,title,false,77,65,78
1,10158627,10111105,description,false,77,126,119
1,10058203,10017671,description,false,77,140,120
1,10038921,10111129,description,false,77,95,117
1,10039367,10016755,description,false,77,145,121
1,10058199,10256901,description,false,77,139,93
1,10058339,10020179,description,false,77,132,126
1,10009775,10013025,description,false,77,127,94
1,10009623,10020145,description,false,77,130,128
1,10166763,10014677,description,false,77,124,121
1,10075725,10187483,title,false,77,59,61
1,10095231,10134173,description,false,77,138,125
1,10039387,10007801,description,false,77,154,142
1,10009671,10007595,description,false,77,132,169
1,10101395,10002833,title,false,77,54,71
1,10098527,10000657,description,false,77,125,174
1,10058499,10002825,title,false,77,88,43
1,10068567,10001251,title,false,77,65,45
1,10058435,10015831,title,false,77,63,53
1,10170215,10017923,title,false,77,67,43
1,10009621,10016727,description,false,77,140,202
1,10058453,10012721,description,false,77,130,121
1,10058181,10012795,title,false,77,75,65
1,10009617,10017391,description,false,77,120,120
1,10058305,10013541,description,false,77,139,155
1,10058535,10017831,description,false,77,149,106
1,10196233,10257047,title,false,77,71,67
1,10058223,10012783,title,false,77,71,56
1,10068583,10017869,description,false,77,123,106
1,10128353,10013703,description,false,77,126,138
1,10009619,10002707,description,false,77,156,122
1,10058399,10017913,description,false,77,126,121
1,10058469,10001975,title,false,77,71,56
1,10058387,10017835,title,false,77,76,43
1,10068611,10257031,title,false,77,67,46
1,10156749,1010500,description,false,77,133,130
1,10235537,10007811,title,false,77,75,55
1,10158641,1009547,title,false,77,74,27
1,10158755,10111121,description,false,77,133,134
1,10009647,10182315,title,false,77,80,44
1,10009681,10003387,title,false,77,85,49
1,10211983,10017079,description,false,77,125,71
1,10009773,10257023,description,false,77,140,93
1,10009711,10017053,description,false,77,124,122
1,10038921,1013866,title,false,77,91,34
1,10048073,10184275,title,false,77,79,42
10,10170661,10036431,description,false,71,45,178
10,10148361,10012863,title,false,71,65,49
10,10009611,10004171,description,false,71,125,83
10,10017113,10173641,title,false,71,64,54
10,1010498,10136033,description,false,71,112,60
10,10148345,10012761,description,false,71,60,111
10,10041745,10013487,title,false,71,57,72
10,10004161,10017427,description,false,71,62,376
10,10170363,10000583,title,false,71,66,46
10,10269809,10207133,description,false,71,120,91
10,10136201,1000494,title,false,71,58,48
10,10150241,10001251,description,false,71,60,63
10,10202235,10017031,description,false,71,172,102
10,10270099,10001773,title,false,71,53,46
10,10148361,10007763,description,false,71,147,320
10,10003277,10242863,title,false,71,49,52
10,10004179,10128145,description,false,71,75,184
10,10242711,10013237,title,false,71,58,39
10,10024767,10012971,description,false,71,57,100
10,10236115,10015921,title,false,71,55,59
10,10019869,10012959,title,false,71,61,47
10,10136037,10150015,description,false,71,60,59
10,10004179,10000805,title,false,71,54,57
10,10004181,10007611,description,false,71,75,195
10,10270053,10013617,description,false,71,104,168
10,10028843,10012917,title,false,71,52,48
10,10070729,10220617,title,false,71,49,58
10,10136157,10017771,description,false,71,69,115
10,10070729,10254489,description,false,71,60,189
10,10144531,10000751,title,false,71,61,57
10,10242855,10012433,title,false,71,48,46
10,10220737,10242833,title,false,71,55,57
10,10177215,1001062,description,false,71,47,293
10,10201823,10015997,title,false,71,52,64
10,10004181,10013055,title,false,71,65,49
10,10144531,10001849,description,false,71,71,228
10,10003075,10028635,description,false,71,57,164
10,10013261,10003213,description,false,71,82,98
10,10003417,10148367,title,false,71,58,64
10,10202235,10017007,title,false,71,70,71
10,10136157,10012881,title,false,71,52,49
10,10150581,10007713,title,false,71,66,52
10,1015476,10007683,description,false,71,204,192
10,10047999,10016997,description,false,71,138,74
10,10263185,10015151,description,false,71,117,85
100,10181909,10145677,title,false,73,45,60
100,10166971,10145677,title,true,73,86,60
100,10167821,10145677,title,true,73,50,60
100,10181867,10145677,title,true,73,43,60
100,10167843,10145677,title,true,73,55,60
100,10156877,10145677,description,true,73,456,174
100,10181885,10145677,title,true,73,36,60
100,10181909,10145677,description,true,73,196,174
100,10156877,10145677,title,true,73,59,60
100,10101529,10145677,description,true,73,199,174
100,10074201,10145677,description,true,73,203,174
100,10181913,10145677,title,true,73,31,60
100,10181893,10145677,description,true,73,191,174
100,10181899,10145677,description,true,73,204,174
100,10181823,10145677,title,true,73,37,60
100,10181783,10145677,description,true,73,208,174
100,10181893,10145677,title,true,73,37,60
100,10143543,10145677,description,true,73,262,174
100,10017439,10145677,description,true,73,222,174
100,10166937,10145677,description,true,73,233,174
100,10017429,10145677,description,true,73,220,174
100,10167837,10145677,description,true,73,241,174
100,10017439,10145677,title,true,73,52,60
100,10166937,10145677,title,true,73,54,60
100,10181759,10145677,title,true,73,48,60
100,10166959,10145677,title,true,73,67,60
100,10167821,10145677,description,true,73,227,174
100,10181833,10145677,title,true,73,47,60
100,10167851,10145677,title,true,73,49,60
100,10167851,10145677,description,true,73,226,174
100,10181885,10145677,description,true,73,193,174
100,10181821,10145677,title,true,73,46,60
100,10017429,10145677,title,true,73,51,60
100,10181869,10145677,description,true,73,195,174
100,10181867,10145677,description,true,73,196,174
100,10181869,10145677,title,true,73,52,60
100,10261367,10145677,title,true,73,50,60
100,10181759,10145677,description,true,73,227,174
100,10181809,10145677,description,true,73,234,174
100,10181809,10145677,title,true,73,52,60
100,10143543,10145677,title,true,73,54,60
100,10166959,10145677,description,true,73,253,174
100,10167837,10145677,title,true,73,63,60
100,10181883,10145677,description,true,73,194,174
100,10181823,10145677,description,true,73,194,174
100,10074201,10145677,title,true,73,47,60
100,10181883,10145677,title,true,73,32,60
100,10181913,10145677,description,true,73,192,174
100,10181783,10145677,title,true,73,38,60
100,10166971,10145677,description,true,73,243,174
101,10015145,10145313,description,false,71,78,105
101,10015171,10243435,description,false,71,73,103
101,10015149,10157901,description,false,71,79,137
101,10184387,10002761,title,false,71,56,40
101,10015151,10002193,title,false,71,62,39
101,10015141,10243537,title,false,71,61,24
101,1011672,10019567,title,false,71,25,40
101,10184387,10241519,description,false,71,74,117
101,10237425,10041421,description,false,71,84,95
101,10236763,10243563,description,false,71,81,159
101,10015155,10251421,description,false,71,72,178
101,10015161,10243499,description,false,71,79,221
101,1011679,10205395,description,false,71,155,229
101,10015165,10243509,title,false,71,55,35
101,10237427,10239821,title,false,71,57,53
101,10180905,10244381,title,false,71,49,28
101,10252481,10002337,description,false,71,82,141
101,1011679,10244421,title,false,71,17,27
101,10015159,10193621,title,false,71,52,54
101,10015171,10244149,title,false,71,51,53
101,10180905,10145245,description,false,71,77,106
101,10015151,10001773,description,false,71,85,150
101,10252481,10137043,title,false,71,58,49
101,10015153,10244679,title,false,71,59,48
101,10015167,10145033,title,false,71,53,47
101,10015167,10244583,description,false,71,75,158
101,10015153,10243479,description,false,71,81,161
101,10236763,10002195,title,false,71,53,53
101,10015161,10001573,title,false,71,57,40
101,10015165,10203233,description,false,71,77,194
101,10015149,10001931,title,false,71,57,47
101,10015141,10203229,description,false,71,83,198
101,10015145,10145323,title,false,71,56,33
101,1011672,10145313,description,true,71,128,105
101,10015159,10243435,description,true,71,74,103
101,10232793,10145313,title,true,71,56,33
101,10015155,10243435,title,true,71,50,28
101,10237425,10157901,title,true,71,62,34
101,10232793,10157901,description,true,71,1077,137
103,10234523,10236539,description,false,71,334,62
103,10168463,10197641,title,false,71,75,68
103,10245789,10001931,description,false,71,220,125
103,10197727,10241519,title,false,71,79,65
103,10197729,10001573,description,false,71,602,154
103,10144797,10266647,title,false,71,65,38
103,10234533,10002195,description,false,71,291,141
