query_id,pos_document_id,neg_document_id,field,neg_recycled,anchor_chars,positive_chars,negative_chars
1,10068569,10013541,description,false,20,123,155
1,10196249,1013866,title,false,20,65,34
1,10158627,10235395,description,false,20,126,105
1,10058203,10007595,description,false,20,140,169
1,10038921,10002707,description,false,20,95,122
1,10039367,10012721,description,false,20,145,121
1,10058199,10017923,description,false,20,139,106
1,10058339,10262853,description,false,20,132,96
1,10009775,10016755,description,false,20,127,121
1,10009623,10004165,description,false,20,130,88
1,10166763,10001251,description,false,20,124,63
1,10075725,10001975,title,false,20,59,56
1,10095231,10257047,description,false,20,138,96
1,10039387,10002825,description,false,20,154,107
1,10009671,10007811,description,false,20,132,203
1,10101395,10000747,title,false,20,54,78
1,10098527,10007801,description,false,20,125,142
1,10058499,10134173,title,false,20,88,66
1,10068567,10111115,title,false,20,65,40
1,10058435,10000657,title,false,20,63,77
1,10170215,10015831,title,false,20,67,53
1,10009621,10012795,description,false,20,140,122
1,10058453,10256867,description,false,20,130,145
1,10058181,10002833,title,false,20,75,71
1,10009617,10017831,description,false,20,120,106
1,10058305,10256973,description,false,20,139,74
1,10058535,10017079,description,false,20,149,71
1,10196233,1017725,title,false,20,71,28
1,10058223,10017869,title,false,20,71,43
1,10068583,10016727,description,false,20,123,202
1,10128353,10013703,description,false,20,126,138
1,10009619,10015983,description,false,20,156,47
1,10058399,10017671,description,false,20,126,120
1,10058469,1010500,title,false,20,71,28
1,10058387,10017391,title,false,20,76,80
1,10068611,10017855,title,false,20,67,48
1,10156749,10017835,description,false,20,133,106
1,10235537,10013641,title,false,20,75,70
1,10158641,10013025,title,false,20,74,32
1,10158755,10003387,description,false,20,133,118
1,10009647,10015929,title,false,20,80,54
1,10009681,10017053,title,false,20,85,84
1,10211983,10111129,description,false,20,125,117
1,10009773,10111105,description,false,20,140,119
1,10009711,10012783,description,false,20,124,136
1,10038921,10256901,title,false,20,91,58
1,10048073,1009552,title,false,20,79,27
10,10170661,10036431,description,false,14,45,178
10,10148361,10012863,title,false,14,65,49
10,10009611,10004171,description,false,14,125,83
10,10017113,10173641,title,false,14,64,54
10,1010498,10136033,description,false,14,112,60
10,10148345,10012761,description,false,14,60,111
10,10041745,10013487,title,false,14,57,72
10,10004161,10017427,description,false,14,62,376
10,10170363,10000583,title,false,14,66,46
10,10269809,10207133,description,false,14,120,91
