query_id,document_id,rating
1,10193723,0
1,10170283,3
1,10170215,3
1,10158753,3
1,10158763,3
1,10038921,3
1,10058275,3
1,10009747,3
1,10191591,3
1,10158633,3
1,10158645,3
1,10009671,3
1,10009751,3
1,10009723,3
1,10196257,3
1,10009661,3
1,10068529,3
1,10009775,3
1,10009729,3
1,10196263,3
1,10095311,3
1,10068573,3
1,10068571,3
1,10009617,3
1,10068553,3
1,10009743,3
1,10196259,3
1,10058497,3
1,10058403,3
1,10068583,3
1,10058179,3
1,10068567,3
1,10068551,3
1,10058475,3
1,10089059,3
1,10058181,3
1,10068611,3
1,10101401,3
1,10068579,3
1,10095277,3
1,10156755,3
1,10048071,3
1,10058339,3
1,10058419,3
1,10190787,3
1,10058399,3
1,10068605,3
1,10068535,3
1,10009711,3
1,10058253,3
1,10068557,3
1,10196261,3
1,10004343,3
1,10058439,3
1,10166763,3
1,10058271,3
1,10058357,3
1,10158665,3
1,10101395,3
1,10058433,3
1,10075261,3
1,10058205,3
1,10128377,3
1,10128341,3
1,10009623,3
1,10058429,3
1,10128353,3
1,10058435,3
1,10058315,3
1,10196225,3
1,10158739,3
1,10058353,3
1,10058537,3
1,10058289,3
1,10158627,3
1,10058401,3
1,10158723,3
1,10196249,3
1,10196255,3
1,10058469,3
1,10048073,3
1,10211983,3
1,10009767,3
1,10058397,3
1,10196233,3
1,10058223,3
1,10158641,3
1,10053875,3
1,10158707,3
1,10196245,3
1,10068615,3
1,10098527,3
1,10075725,3
1,10068569,3
1,10068547,3
1,10068595,3
1,10190781,3
1,10158651,3
1,10098553,3
1,10101409,3
2,10030219,3
2,10030129,1
2,10254593,2
2,10030097,1
2,10064981,1
2,10074235,0
2,10260409,1
2,10161011,1
2,10236109,0
2,1005386,0
2,10201823,0
2,10236115,0
2,10028843,0
2,10065009,0
2,10231241,0
2,10128135,0
2,10006075,0
2,10005995,0
2,10063507,0
2,10201277,0
2,10241785,1
2,10029315,0
2,10044667,0
2,10029399,0
2,10063519,0
2,10063535,0
2,10063511,0
2,10063509,0
2,10063545,0
2,10274341,0
2,10006069,0
2,10006063,0
2,10132801,0
2,10005993,0
2,10006017,0
2,10006009,0
2,10044687,0
2,10044699,0
2,10029161,0
2,10201235,0
2,10137541,0
2,10201293,0
2,10063531,0
2,10063539,0
2,10029321,0
2,10036077,0
2,10035977,0
2,10063501,0
2,10036081,0
2,10201189,0
2,10029017,0
2,10035999,0
2,10036065,0
2,10029069,0
2,10071591,0
2,10156291,0
2,10174531,0
2,10174533,0
2,10128121,0
2,10030135,0
2,10027707,0
2,10030239,0
2,10237261,0
2,10202047,0
2,10059853,0
2,10237315,0
2,10030161,0
2,10030101,0
2,10030179,1
2,10030139,1
2,10028127,0
2,10029991,0
2,10254679,0
2,10027591,0
2,10028157,0
2,10018841,0
2,10029543,0
2,10030275,0
2,10030193,0
2,10028169,0
2,10028413,0
2,10027649,0
2,10202053,0
2,10030231,1
2,10030265,1
2,10028325,0
2,10065581,0
2,10036461,0
2,10202055,1
2,10030085,0
2,10028271,0
2,10028215,1
2,10028407,1
2,10218841,0
2,10030119,0
2,10201701,1
2,10028367,0
2,10028025,0
2,10030061,0
2,10028087,1
3,10168427,0
3,10261295,2
3,10016703,3
3,10005937,3
3,10013361,3
3,10005915,3
3,10000377,3
3,10012373,2
3,10013349,3
3,10013305,3
3,10005909,3
3,10000533,3
3,10000107,3
3,10017021,3
3,10000355,3
3,10000445,3
3,10000543,3
3,10016679,3
3,10005911,3
3,10000301,3
3,10016699,3
3,10000281,2
3,10003505,3
3,10003557,3
3,10005971,3
3,10003347,2
3,10000245,2
3,10016993,3
3,10017085,3
3,10003439,3
3,10016983,3
3,10014413,3
3,10012413,0
3,10017017,3
3,10000187,3
3,10017063,3
3,10012433,3
3,10004169,3
3,10013377,3
3,10000215,3
3,10013315,3
3,10005969,3
3,10000097,3
3,10005885,3
3,10003395,3
3,10017011,3
3,10016671,2
3,10013371,3
3,10000539,3
3,10005241,3
3,10016665,0
3,10004163,3
3,10003085,3
3,10012429,3
3,10016971,3
3,10005967,3
3,10003209,2
3,10016997,3
3,10017079,3
3,10011163,3
3,10005903,3
3,10003207,3
3,10016981,3
3,10003297,3
3,10005261,3
3,10003097,3
3,10003365,3
3,10011181,3
3,10013491,0
3,10013487,0
3,10013623,0
3,10013541,0
3,10013483,0
3,10011195,3
3,10013677,0
3,10000761,0
3,10255779,3
3,10255557,3
3,1016061,1
3,10247271,1
3,10180669,0
3,1020424,0
3,1009557,0
3,10217061,0
3,1010508,0
3,1014825,0
3,1014684,0
3,10180753,0
3,10267735,0
3,1010510,0
3,10074967,0
3,10155661,1
3,10153287,0
3,10268071,0
3,10254391,1
3,10028277,0
3,10202571,1
3,10205701,1
3,10264429,0
3,10268315,0
4,10252943,3
4,10137063,3
4,10020701,3
4,10111007,3
4,10274555,3
4,10274623,3
4,10274563,3
4,10159395,3
4,10253151,3
4,10223315,3
4,10252775,3
4,10266973,3
4,10266897,3
4,10266859,3
4,10266797,3
4,10266903,3
4,10267007,3
4,10111389,3
4,10038953,3
4,10161569,3
4,10161571,3
4,10203643,3
4,10266937,3
4,10266799,3
4,10038951,3
4,10266919,3
4,10266807,3
4,10252911,2
4,10018209,3
4,10137139,2
4,10137357,2
4,10248375,3
4,10248323,3
4,10252927,3
4,10253057,3
4,10137045,2
4,10101665,3
4,10137205,3
4,10253275,3
4,10223285,3
4,10244177,3
4,10244185,3
4,10001425,3
4,10267003,3
4,10266827,3
4,10223311,2
4,10252795,3
4,10129639,3
4,10101677,3
4,10101649,3
4,10117065,3
4,10117157,3
4,10266907,3
4,10208649,3
4,10138019,2
4,10030351,2
4,10266789,3
4,10137995,2
4,10030401,3
4,10253221,3
4,10018989,2
4,10252845,3
4,10029235,3
4,10137993,2
4,10138003,1
4,10137981,3
4,10144187,3
4,10018065,3
4,10014975,3
4,10262317,3
4,10262305,3
4,10118903,1
4,10075957,1
4,10018011,2
4,10253227,2
4,10018943,1
4,10234247,2
4,10137341,1
4,10248157,1
4,10248687,0
4,10137187,0
4,10274569,0
4,10117203,0
4,10182581,0
4,10036981,0
4,10117195,0
4,10117143,0
4,10127099,1
4,10029687,0
4,10117081,0
4,10119371,0
4,10274565,0
4,10274547,0
4,10029835,0
4,10137533,0
4,10117101,1
4,10037001,0
4,10137525,0
4,10129615,0
4,10119103,0
5,10253031,0
5,10259631,0
5,10234247,0
5,10191015,1
5,10235561,2
5,10173305,0
5,10258861,0
5,10258857,0
5,10258873,0
5,10258877,0
5,10259619,0
5,10036065,0
5,10258859,0
5,10258865,0
5,10258853,0
5,10259623,0
5,10036077,0
5,10173297,0
5,10044057,0
5,10017017,0
5,10131789,0
5,1017837,0
5,10250887,0
5,10029271,0
5,10141843,0
5,10184679,0
5,10036081,0
5,10248269,0
5,10030381,0
5,10266809,0
5,10267003,0
5,10163945,0
5,10044687,0
5,10044683,0
5,10029173,0
5,10052313,0
5,10248407,0
5,10052659,0
5,10044667,0
5,10030423,0
5,10137399,0
5,10137403,0
5,10052331,0
5,10052305,0
5,10052621,0
5,10052347,0
5,10051891,0
